category_id,parent_id,name(en-gb),name(ru-ru),top,columns,sort_order,image_name,date_added,date_modified,seo_keyword,description(en-gb),description(ru-ru),meta_title(en-gb),meta_title(ru-ru),meta_description(en-gb),meta_description(ru-ru),meta_keywords(en-gb),meta_keywords(ru-ru),store_ids,layout,status
cid_4951169,0,Вентиляция,Вентиляция,true,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_4951172,cid_4951169,"БЫТОВАЯ ВЕНТИЛЯЦИЯ","БЫТОВАЯ ВЕНТИЛЯЦИЯ",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409465,cid_4951172,"Бытовая приточная вентиляция","Бытовая приточная вентиляция",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409466,cid_5409465,"Приточно-очистительные мультикомплексы","Приточно-очистительные мультикомплексы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409469,cid_5409466,"BALLU 6","BALLU 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-6,,,,,,,,,0,,true
cid_5409467,cid_5409465,"Компактные приточно-вытяжные установки 36","Компактные приточно-вытяжные установки 36",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-36,,,,,,,,,0,,true
cid_5409468,cid_5409465,"Фильтры для приточно-очистительных мультикомплексов 2","Фильтры для приточно-очистительных мультикомплексов 2",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-2,,,,,,,,,0,,true
cid_5409480,cid_4951172,Вентиляторы,Вентиляторы,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409481,cid_5409480,"Вытяжные бытовые 56","Вытяжные бытовые 56",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-56,,,,,,,,,0,,true
cid_5409482,cid_5409480,"Вытяжные осевые","Вытяжные осевые",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409484,cid_5409482,"BALLU MACHINE 6","BALLU MACHINE 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-6,,,,,,,,,0,,true
cid_5409488,cid_5409482,"SHUFT 9","SHUFT 9",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",shuft-9,,,,,,,,,0,,true
cid_5409483,cid_5409480,"Канальные для круглых каналов","Канальные для круглых каналов",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409485,cid_5409483,"BALLU MACHINE 13","BALLU MACHINE 13",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-13,,,,,,,,,0,,true
cid_5409500,cid_4951172,"Дополнительные элементы для вентиляторов","Дополнительные элементы для вентиляторов",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409501,cid_5409500,"Регуляторы скорости для вентиляторов","Регуляторы скорости для вентиляторов",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409502,cid_5409501,"BREVE 3","BREVE 3",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",breve-3,,,,,,,,,0,,true
cid_4951190,cid_4951169,"Вентиляционные установки","Вентиляционные установки",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_4951209,cid_4951190,"Все бренды 175","Все бренды 175",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-175,,,,,,,,,0,,true
